id,name,type,sort,ranking,points,gender,alive,genre
300e,300 Entertainment,2,4,0,0,0,0,0
adas,Adassa,1,1,48,1860,1,1,10
afte,Aftermath Entertainment,2,4,0,0,0,0,0
alam,Alamo Records,2,4,0,0,0,0,0
almo,Almo Records,2,5,0,0,0,0,0
ampe,AMPED,2,7,0,0,0,0,0
andy,Andy Williams,1,1,126,680,2,2,1
anth,Anthem Records,2,5,0,0,0,0,0
anxi,The Anxiety,1,2,135,638,4,1,1
aria,Ariana Grande,1,1,49,1850,1,1,1
aril,Ari Lennox,1,1,156,354,1,4,1
aris,Arista Nashville,2,4,0,0,0,0,0
arma,Armani White,1,1,152,361,2,4,1
arth,Arthouse Entertainment,2,5,0,0,0,0,0
ashl,Ashley McBryde,1,1,140,407,1,8,1
atla,Atlantic Records,2,4,0,0,0,0,0
avam,Ava Max,1,1,160,504,1,1,1
awal,AWAL,2,7,0,0,0,0,0
badr,Bad Realm Records,2,5,0,0,0,0,0
bail,Bailey Zimmermann,1,1,27,3350,2,1,8
barn,Barnaby Records,2,5,0,0,0,0,0
bbrm,BBR Music Group,2,4,0,0,0,0,0
bebe,Bebe Rexha,1,1,75,1315,1,1,1
beck,Becky G,1,1,73,1362,1,1,10
beyo,Beyonce,1,1,24,3568,1,1,1
bigg,Big Grrrl Small World,2,5,0,0,0,0,0
bigl,Big Loud Records,2,5,0,0,0,0,0
bigm,Big Machine Records,2,5,0,0,0,0,0
bill,Billie Eilish,1,1,147,386,1,1,1
bing,Bing Crosby,1,1,150,378,2,1,2
blac,Black River Entertainment,2,5,0,0,0,0,0
blue,Bluebird Records,2,4,0,0,0,0,0
blxs,Blxst,1,1,149,576,2,1,4
bmgr,BMG Rights Management,2,3,0,0,0,0,0
bobb,Bobby Helms,1,1,137,629,2,2,8
boom,Boominati Records,2,4,0,0,0,0,0
brad,Brad Paisley,1,1,148,379,2,8,1
brel,Breland,1,1,108,832,2,1,4
bren,Brenda Lee,1,1,131,648,1,1,8
brent,Brent Faiyaz,1,1,146,588,2,1,6
brit,Britney Spears,1,1,92,956,1,1,1
burl,Burl Ives,1,1,150,572,2,2,1
cact,Cactus Jack Records,2,5,0,0,0,0,0
cami,Camila Cabello,1,1,77,1308,1,1,1
camp,Camp South Records,2,6,0,0,0,0,0
cana,Capitol Records Nashville,2,4,0,0,0,0,0
capi,Capitol Records,2,4,0,0,0,0,0
card,Cardi B,1,1,62,1541,1,1,4
carl,Carly Pearce,1,1,138,414,1,8,1
carr,Carrie Underwood,1,1,121,713,1,1,8
cash,Cash Money Records,2,4,0,0,0,0,0
cert,1501 Certified Entertainment,2,5,0,0,0,0,0
charl,Charlie Puth,1,1,52,1799,2,1,1
chri,Chris Brown,1,1,63,1518,2,1,4
chst,Chris Stapleton,1,1,125,683,2,1,8
cody,Cody Johnson,1,1,58,1587,2,1,8
cole,Collective Music Group,2,4,0,0,0,0,0
coll,Collectables Records,2,5,0,0,0,0,0
colu,Columbia Records,2,4,0,0,0,0,0
cosw,Cole Swindell,1,1,32,2695,2,1,8
d4vd,d4vd,1,1,132,640,2,1,1
dark,Darkroom,2,4,0,0,0,0,0
darl,Darlene Love,1,1,144,395,1,6,1
dazy,Dazy,1,8,43,2134,2,1,1
dean,Dean Martin,1,1,135,450,2,1,2
deat,Death Row Records,2,5,0,0,0,0,0
decc,Decca Records,2,4,0,0,0,0,0
defj,Def Jam Recordings,2,4,0,0,0,0,0
dian,Diane Guerrero,1,1,38,2380,1,1,1
diem,DIEMON,2,5,0,0,0,0,0
dier,Dierks Bentley,1,1,109,831,2,1,8
disr,Disruptor Records,2,4,0,0,0,0,0
djkh,DJ Khaled,1,1,74,1326,2,1,4
doja,Doja Cat,1,1,3,11507,1,1,4
dont,Don Toliver,1,1,137,437,2,4,1
dove,Dove Cameron,1,1,60,1561,1,1,1
drak,Drake,1,1,1,13174,2,1,4
drea,Dreamville Records,2,4,0,0,0,0,0
dust,Dustin Lynch,1,1,145,395,2,8,1
elek,Elektra Records,2,4,0,0,0,0,0
elle,Elle King,1,1,158,335,1,8,1
embe,Em Beihold,1,1,46,1917,1,1,1
emna,EMI Records Nashville,2,4,0,0,0,0,0
epic,Epic Records,2,4,0,0,0,0,0
eric,Eric Church,1,1,138,624,2,1,8
erne,ERNEST,1,1,142,610,2,1,8
evgl,Evgle,2,5,0,0,0,0,0
font,The Fontane Sisters,1,2,132,470,1,1,2
fran,Frank Sinatra,1,1,157,348,2,9,2
free,Freebandz,2,4,0,0,0,0,0
frid,Fridayy,1,1,151,370,2,4,1
futu,Future,1,1,6,8288,2,1,4
gayl,Gayle,1,1,50,1815,1,1,3
geff,Geffen,2,4,0,0,0,0,0
gene,Generation Now,2,4,0,0,0,0,0
genea,Gene Autry,1,1,145,593,2,2,8
gher,G Herbo,1,1,143,401,2,4,1
glor,GloRilla,1,1,61,1552,1,1,4
good,GOOD Music,2,5,0,0,0,0,0
gran,Grand Hustle,2,5,0,0,0,0,0
gucc,Gucci Mane,1,1,142,403,2,4,1
gunn,Gunna,1,2,20,3910,2,1,4
hals,Halsey,1,1,147,587,1,1,1
hard,Hardy,1,1,64,1481,2,1,8
hitk,Hitkidd,1,8,127,679,2,1,4
imag,Imagine Dragons,1,2,31,2927,2,1,3
ingr,Ingrid Andress,1,1,117,740,1,1,8
inte,interscope Records,2,4,0,0,0,0,0
isla,Island Def Jam Music Group,2,4,0,0,0,0,0
isre,Island Records,2,4,0,0,0,0,0
jack,Jackson Dean,1,1,126,498,2,8,1
jaha,Jack Harlow,1,1,13,5106,2,1,4
jaso,Jason Aldean,1,1,84,1194,2,1,8
jax,Jax,1,1,96,924,1,1,1
jell,Jelly Roll,1,1,85,1188,2,1,8
jess,Jessica Darrow,1,1,78,1303,1,1,1
jhay,Jhay Cortez,1,1,130,654,2,1,4
jid,J.I.D,1,1,36,2425,2,1,4
jimm,Jimmie Allen,1,1,141,405,2,8,1
jonp,Jon Pardi,1,1,93,952,2,1,8
jord,Jordan Davis,1,1,53,1798,2,1,8
jose,José Feliciano,1,1,158,510,2,1,1
joyt,Joytime Collective,2,6,0,0,0,0,0
juic,Juice WRLD,1,1,136,443,2,4,2
just,Justin Bieber,1,1,8,7534,1,1,1
jvke,JVKE,1,1,113,785,2,1,1
kane,Kane Brown,1,1,33,2529,2,1,1
kany,Kanye West,1,1,83,1203,2,1,4
kate,Katelyn Brown,1,1,105,853,1,1,1
kell,Kelly Clarkson,1,1,156,519,1,1,1
kels,Kelsea Ballerini,1,1,128,479,1,8,1
kemo,Kemosabe Records,2,4,0,0,0,0,0
kend,Kendrick Lamar,1,1,40,2361,2,1,4
kenn,Kenny Chesney,1,1,129,479,2,8,1
khal,Khalid,1,1,124,688,2,1,6
kidi,Kidinakorner,2,4,0,0,0,0,0
koda,Kodak Black,1,1,25,3484,2,1,4
lady,Lady Gaga,1,1,159,332,1,1,1
lain,Lainey Wilson,1,1,65,1476,1,1,8
lana,Lana del Rey,1,1,156,345,1,1,1
last,Last King Records,2,5,0,0,0,0,0
latt,Latto,1,1,26,3376,1,1,4
laur,Lauren Alaina,1,1,146,395,1,8,1
lilb,Lil Baby,1,1,5,8665,2,1,4
lild,Lil Durk,1,1,16,4562,2,1,4
liln,Lil Nas X,1,1,15,4750,2,1,4
lilu,Lil Uzi Vert,1,1,148,581,3,1,4
lizz,Lizzo,1,1,28,3245,1,1,4
lm,LM Records,2,5,0,0,0,0,0
lost,Lost Kids,2,6,0,0,0,0,0
lubr,Luke Bryan,1,1,72,1369,2,1,8
luke,Luke Combs,1,1,30,3032,2,1,8
lvrn,LVRN,2,4,0,0,0,0,0
mach,Machine Entertainment Group,2,5,0,0,0,0,0
mald,Maldy,1,1,154,355,2,10,1
mare,Maren Morris,1,1,129,669,1,1,8
mari,Mariah Carey,1,1,128,671,1,1,1
mars,Marshmello,1,8,118,736,2,1,7
mcna,MCA Nashville Records,2,4,0,0,0,0,0
mega,Megan Thee Stallion,1,1,57,1635,1,1,4
megh,Meghan Trainor,1,1,134,451,1,1,1
merc,Mercury Records,2,4,0,0,0,0,0
metr,Metro Boomin,1,3,68,1389,2,1,4
mich,Michael Ray,1,1,160,319,2,8,1
mira,Miranda Lambert,1,1,98,919,1,1,8
mitc,Mitchell Ayres and his Orchestra,1,1,130,470,2,1,2
mite,Mitchell Tenpenny,1,1,131,470,2,8,1
mone,Moneybagg Yo,1,1,153,360,2,4,1
monu,Monument Records,2,4,0,0,0,0,0
moon,Moon Projects Record Label,2,4,0,0,0,0,0
morg,Morgan Wallen,1,1,4,8858,2,1,8
mosl,Mosley Music Group,2,4,0,0,0,0,0
moto,Motown Records,2,4,0,0,0,0,0
mpbr,"2019 MPB Records & Glad Empire, LCC",2,5,155,0,0,0,0
msft,MSFTS Music,2,6,0,0,0,0,0
muni,Muni Long,1,1,66,1430,1,1,6
nard,Nardo Wick,1,1,68,1389,2,1,4
nate,Nate Smith,1,1,110,800,2,1,8
natk,Nat King Cole,1,1,111,796,2,2,9
neve,Never Broke Again,2,4,0,0,0,0,0
nice,Nice Life Recording Company,2,4,0,0,0,0,0
nick,Nicki Minaj,1,1,37,2407,1,1,4
niyo,Nicky Youre,1,1,44,2134,2,1,1
olga,Olga Merediz,1,1,88,1006,1,1,1
oliv,Olivia Rodrigo,1,1,68,1389,1,1,1
oner,OneRepublic,1,2,47,1895,2,1,1
orch,The Orchard,2,7,0,0,0,0,0
park,Parker McCollum,1,1,123,695,2,1,8
parm,Parmalee,1,2,89,990,2,1,8
perr,Perry Como,1,1,154,542,2,2,1
polo,Polo G,1,1,120,726,2,1,4
poly,Polydor Records,2,4,0,0,0,0,0
post,Post Malone,1,1,14,4950,2,1,4
proj,Project Pat,1,1,107,835,2,1,4
qual,Quality Control Music,2,5,0,0,0,0,0
quav,Quavo,1,1,153,552,2,1,4
rauw,Rauw Alejandro,1,1,82,1213,2,1,10
rbmj,RBMJ,2,4,0,0,0,0,0
rcan,RCA Records Nashville,2,4,0,0,0,0,0
rcar,RCA Records,2,4,0,0,0,0,0
rcav,RCA Victor,2,4,0,0,0,0,0
real,Real Talk Entertainment,2,4,0,0,0,0,0
reco,1017 Records,2,4,0,0,0,0,0
redb,Red Bull Records,2,5,0,0,0,0,0
rela,Relativity Records,2,4,0,0,0,0,0
repr,Reprise Records,2,4,0,0,0,0,0
repu,Republic Records,2,4,0,0,0,0,0
rhen,Rhenzy Feliz,1,1,54,1714,2,1,1
rico,Riser House/Columbia Nashville,2,4,0,0,0,0,0
righ,Right Hand Music Group,2,5,0,0,0,0,0
rile,Riley Green,1,1,157,513,2,1,8
rive,River House Artists,2,5,0,0,0,0,0
rocn,Roc Nation,2,5,0,0,0,0,0
rodd,Roddy Ricch,1,1,116,745,2,1,4
rodw,Rod Wave,1,1,86,1126,2,1,4
rone,The Ronettes,1,2,127,491,1,1,1
rudi,Russell Dickerson,1,1,151,562,2,1,8
russ,Russ,1,1,157,339,2,4,
samh,Sam Hunt,1,1,67,1422,2,1,8
scot,Scotty McCreery,1,1,99,898,2,1,8
silk,Silk Sonic,1,2,100,897,2,1,6
slea,SleazyWorld Go,1,1,102,875,2,1,4
snip,Sniper Gang,2,5,0,0,0,0,0
snoo,Snoop Dogg,1,1,133,466,2,4,1
sola,Sony Music Latin,2,4,0,0,0,0,0
sona,Sony Music Nashville,2,4,0,0,0,0,0
sony,Sony Music Entertainment,2,3,0,0,0,0,0
step,Stephanie Beatriz,1,1,23,3745,1,1,1
stev,Steve Lacy,1,1,39,2371,2,1,1
ston,Stoney Creek Records,2,4,0,0,0,0,0
strea,Streamline Records,2,4,0,0,0,0,0
stsa,Stephen Sanchez,1,1,112,794,2,1,1
summ,Summer Walker,1,1,139,409,1,6,1
sza,SZA,1,1,17,4444,1,1,6
take,Takeoff,1,1,144,594,2,2,4
tayl,Taylor Swift,1,1,11,6398,1,1,1
thir,Thirty Knots,2,5,0,0,0,0,0
thom,Thomas Rhett,1,1,87,1073,2,1,8
thti,Thirty Tigers,2,7,MA,0,0,0,0
topd,Top Dawg Entertainment,2,5,0,0,0,0,0
tota,Totally Gross National Product,2,5,0,0,0,0,0
trav,Travis Scott,1,1,103,872,2,1,4
trip,Triple Tigers,2,5,0,0,0,0,0
tyco,Tyler Cole,1,1,135,638,2,1,1
tyga,Tyga,1,1,106,850,2,1,4
tyle,Tyler Hubbard,1,1,80,1286,2,1,8
univ,Universal Music Group,2,3,0,0,0,0,0
unla,Universal Music Latin Entertainment,2,4,0,0,0,0,0
unna,Universal Music Group Nashville,2,4,0,0,0,0,0
wabr,Warner Bros. Records,2,4,0,0,0,0,0
walk,Walker Hayes,1,1,35,2498,2,1,8
walt,Walt Disney Records,2,4,0,0,0,0,0
wana,Warner Music Nashville,2,4,0,0,0,0,0
ware,Warner Records,2,4,0,0,0,0,0
warn,Warner Music Group,2,3,0,0,0,0,0
weth,We The Best Music Group,2,4,0,0,0,0,0
will,Willow Smith,1,1,122,705,1,1,1
word,Word Records,2,5,0,0,0,0,0
wyte,Wyte Music,2,5,0,0,0,0,0
yobo,YoungBoy Never Broke Again,1,1,90,989,2,1,4
yomo,Young Money Entertainment,2,4,0,0,0,0,0
yoth,Young Thug,1,1,45,2081,2,1,4
youn,Young Stoner Life Records,2,4,0,0,0,0,0
yung,Yung Gravy,1,1,104,868,2,1,4
zach,Zach Bryan,1,1,42,2220,2,1,8
zone,Zone 4,2,4,0,0,0,0,0